,Nodes,Edges,Latitude,Longitude
21,"Fraunhofer Heinrich Hertz Institute, Berlin, Germany","[""Key Laboratory of Semiconductor Materials Science, Beijing Key Laboratory of Low Dimensional Semiconductor Materials and Devices, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China"", ""Bright Photonics, Maarssen, The Netherlands""]",52.5170365,13.3888599
22,"Bright Photonics, Maarssen, The Netherlands","[""Key Laboratory of Semiconductor Materials Science, Beijing Key Laboratory of Low Dimensional Semiconductor Materials and Devices, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China"", ""Fraunhofer Heinrich Hertz Institute, Berlin, Germany""]",52.1384846,5.040082
23,"Department of Physics, Chemistry, and Biology (IFM), Linköping University, Linköping, Sweden","[""Department of Electronic Engineering, Xi'an University of Technology, Xi'an, China"", ""Key Laboratory of Wide Band Gap Semiconductor Materials and Devices, School of Microelectronics, Xidian University, Xi'an, China""]",58.4098135,15.6245252
24,"Key Laboratory of Wide Band Gap Semiconductor Materials and Devices, School of Microelectronics, Xidian University, Xi'an, China","[""Department of Electronic Engineering, Xi'an University of Technology, Xi'an, China"", ""Department of Physics, Chemistry, and Biology (IFM), Link\u00f6ping University, Link\u00f6ping, Sweden""]",34.2607713,108.9423443
25,"Department of Electronic Engineering, Xi'an University of Technology, Xi'an, China","[""Department of Physics, Chemistry, and Biology (IFM), Link\u00f6ping University, Link\u00f6ping, Sweden"", ""Key Laboratory of Wide Band Gap Semiconductor Materials and Devices, School of Microelectronics, Xidian University, Xi'an, China""]",34.2607713,108.9423443
26,"State Key Laboratory on Integrated Optoelectronics, Institute of Semiconductors, Chinese Academy and Sciences, Beijing, China","[""College of Information Science and Engineering, Huaqiao University, Quanzhou, China"", ""State Key Laboratory on Integrated Optoelectronics, Department of Electronical Engineering, Tsinghua University, Beijing, China"", ""Department of Physics, Trinity College Dublin, Dublin, Ireland"", ""Department of Physics, Lanzhou University, Lanzhou, Gansu, China"", ""Walter Schottky Institute, Technical University Munich, Garching, Germany""]",39.9057136,116.3912972
27,"Semiconductor Device Research Center, Matsushita Electric Industrial Company Limited, Semiconductor Company, Osaka, Japan","[""Research Center for Nano-Device and Systems, Nagoya Institute of Technology, Nagoya, Japan""]",34.6198813,135.490357
28,"Research Center for Nano-Device and Systems, Nagoya Institute of Technology, Nagoya, Japan","[""Semiconductor Device Research Center, Matsushita Electric Industrial Company Limited, Semiconductor Company, Osaka, Japan""]",35.1851045,136.8998438
29,"Analysis Science and Engineering, Samsung Electronics Hwasung Campus, Hwaseong, South Korea","[""Department of Physics, Chungbuk National University, Cheongju, South Korea"", ""S. LSI, Samsung Electronics Kiheung Campus, Yongin, South Korea"", ""Filter Business, Synopex Inc., Yongin, South Korea""]",37.1994653,126.8312632
30,"S. LSI, Samsung Electronics Kiheung Campus, Yongin, South Korea","[""Department of Physics, Chungbuk National University, Cheongju, South Korea"", ""Filter Business, Synopex Inc., Yongin, South Korea"", ""Analysis Science and Engineering, Samsung Electronics Hwasung Campus, Hwaseong, South Korea""]",37.2405741,127.1785572
31,"Filter Business, Synopex Inc., Yongin, South Korea","[""Department of Physics, Chungbuk National University, Cheongju, South Korea"", ""S. LSI, Samsung Electronics Kiheung Campus, Yongin, South Korea"", ""Analysis Science and Engineering, Samsung Electronics Hwasung Campus, Hwaseong, South Korea""]",37.2405741,127.1785572
32,"Department of Physics, Chungbuk National University, Cheongju, South Korea","[""S. LSI, Samsung Electronics Kiheung Campus, Yongin, South Korea"", ""Filter Business, Synopex Inc., Yongin, South Korea"", ""Analysis Science and Engineering, Samsung Electronics Hwasung Campus, Hwaseong, South Korea""]",36.6421169,127.4891742
33,"The Electrical Engineering Department, Tsinghua University, Beijing, China","[""The Nano-Optoelectronic Laboratory, Institute of Semiconductors, Chinese Academy and Sciences, Beijing, China""]",39.9057136,116.3912972
34,"The Nano-Optoelectronic Laboratory, Institute of Semiconductors, Chinese Academy and Sciences, Beijing, China","[""The Electrical Engineering Department, Tsinghua University, Beijing, China""]",39.9057136,116.3912972
35,"Institute of Traffic and Transportation, National Chiao Tung University, Taipei, Taiwan, R.O.C","[""Hon Hai Precision Industry Company, Ltd., Taipei, Taiwan, R.O.C"", ""Department of Industrial Engineering and Management, National Taipei University of Technology, Taipei, Taiwan, R.O.C"", ""Department of Industrial Management, National Taiwan University of Science and Technology, Taipei, Taiwan, R.O.C""]",,
36,"Department of Industrial Management, National Taiwan University of Science and Technology, Taipei, Taiwan, R.O.C","[""Institute of Traffic and Transportation, National Chiao Tung University, Taipei, Taiwan, R.O.C"", ""Hon Hai Precision Industry Company, Ltd., Taipei, Taiwan, R.O.C"", ""Department of Industrial Engineering and Management, National Taipei University of Technology, Taipei, Taiwan, R.O.C""]",,
37,"Hon Hai Precision Industry Company, Ltd., Taipei, Taiwan, R.O.C","[""Institute of Traffic and Transportation, National Chiao Tung University, Taipei, Taiwan, R.O.C"", ""Department of Industrial Engineering and Management, National Taipei University of Technology, Taipei, Taiwan, R.O.C"", ""Department of Industrial Management, National Taiwan University of Science and Technology, Taipei, Taiwan, R.O.C""]",,
38,"Department of Industrial Engineering and Management, National Taipei University of Technology, Taipei, Taiwan, R.O.C","[""Institute of Traffic and Transportation, National Chiao Tung University, Taipei, Taiwan, R.O.C"", ""Hon Hai Precision Industry Company, Ltd., Taipei, Taiwan, R.O.C"", ""Department of Industrial Management, National Taiwan University of Science and Technology, Taipei, Taiwan, R.O.C""]",,
39,"Unidad Asociada al Instituto de Ciencia de Materiales de Madrid, CSIC, Madrid, Spain","[""Departamento de Matem\u00e1tica Aplicada y Ciencias de la Computaci\u00f3n, Universidad de Cantabria, Santander, Spain"", ""Instituto de Ciencia de Materiales, CSIC, Cantoblanco, Spain""]",40.4167047,-3.7035825
40,"Instituto de Ciencia de Materiales, CSIC, Cantoblanco, Spain","[""Unidad Asociada al Instituto de Ciencia de Materiales de Madrid, CSIC, Madrid, Spain"", ""Departamento de Matem\u00e1tica Aplicada y Ciencias de la Computaci\u00f3n, Universidad de Cantabria, Santander, Spain""]",42.836215,-2.9681851
41,"Departamento de Matemática Aplicada y Ciencias de la Computación, Universidad de Cantabria, Santander, Spain","[""Unidad Asociada al Instituto de Ciencia de Materiales de Madrid, CSIC, Madrid, Spain"", ""Instituto de Ciencia de Materiales, CSIC, Cantoblanco, Spain""]",43.4620412,-3.8099719
42,"Semiconductor Energy Laboratory Company Limited, Kanagawa, Japan","[""TFT Circuit Design Division, Semiconductor Energy Laboratory Company Limited, Kanagawa, Japan""]",35.4342935,139.374753
43,"TFT Circuit Design Division, Semiconductor Energy Laboratory Company Limited, Kanagawa, Japan","[""Semiconductor Energy Laboratory Company Limited, Kanagawa, Japan""]",35.4342935,139.374753
44,"School of Engineering Science, Simon Fraser University, Burnaby, BC, Canada","[""ECE Department, Ohio State University, Columbus, OH, USA"", ""Chonnam National University, Gwangju, South Korea"", ""Memory Division, Samsung Electronics Co., Hwasung, South Korea"", ""Department of Computing and Informatics, Bournemouth University, Poole, U.K.""]",55.001251,-125.002441
45,"Memory Division, Samsung Electronics Co., Hwasung, South Korea","[""ECE Department, Ohio State University, Columbus, OH, USA"", ""School of Engineering Science, Simon Fraser University, Burnaby, BC, Canada"", ""Chonnam National University, Gwangju, South Korea"", ""Department of Computing and Informatics, Bournemouth University, Poole, U.K.""]",37.2020663,126.83926432932711
46,"Chonnam National University, Gwangju, South Korea","[""ECE Department, Ohio State University, Columbus, OH, USA"", ""School of Engineering Science, Simon Fraser University, Burnaby, BC, Canada"", ""Memory Division, Samsung Electronics Co., Hwasung, South Korea"", ""Department of Computing and Informatics, Bournemouth University, Poole, U.K.""]",35.1594647,126.8515034
47,"Department of Computing and Informatics, Bournemouth University, Poole, U.K.","[""ECE Department, Ohio State University, Columbus, OH, USA"", ""School of Engineering Science, Simon Fraser University, Burnaby, BC, Canada"", ""Chonnam National University, Gwangju, South Korea"", ""Memory Division, Samsung Electronics Co., Hwasung, South Korea""]",50.7179472,-1.981521
48,"ECE Department, Ohio State University, Columbus, OH, USA","[""School of Engineering Science, Simon Fraser University, Burnaby, BC, Canada"", ""Chonnam National University, Gwangju, South Korea"", ""Memory Division, Samsung Electronics Co., Hwasung, South Korea"", ""Department of Computing and Informatics, Bournemouth University, Poole, U.K.""]",40.2253569,-82.6881395
49,"Semiconductor Photonics Group, School of Physics and Centre for Telecommunication Value-Driven Research (CTVR), Trinity College Dublin, Dublin, Ireland","[""Photonics Group and Centre for Telecommunication Value-Chain Driven Research (CTVR), Tyndall National Institute, Cork, Ireland""]",53.3493795,-6.2605593
50,"Photonics Group and Centre for Telecommunication Value-Chain Driven Research (CTVR), Tyndall National Institute, Cork, Ireland","[""Semiconductor Photonics Group, School of Physics and Centre for Telecommunication Value-Chain Driven Research (CTVR), Trinity College Dublin, Dublin, Ireland"", ""Semiconductor Photonics Group, School of Physics and Centre for Telecommunication Value-Driven Research (CTVR), Trinity College Dublin, Dublin, Ireland""]",51.897077,-8.4654674
51,"Tyndall National Institute, Cork, Ireland","[""Semiconductor Photonics Group, Trinity College Dublin, Ireland"", ""Department of Electrical and Computer Engineering, University of California Santa Barbara, Santa Barbara, CA, USA""]",51.897077,-8.4654674
52,"Semiconductor Photonics Group, Trinity College Dublin, Ireland","[""Tyndall National Institute, Cork, Ireland"", ""Department of Electrical and Computer Engineering, University of California Santa Barbara, Santa Barbara, CA, USA""]",53.34366745,-6.254444724511822
53,"Department of Electrical and Computer Engineering, University of California Santa Barbara, Santa Barbara, CA, USA","[""Semiconductor Photonics Group, Trinity College Dublin, Ireland"", ""Tyndall National Institute, Cork, Ireland""]",36.7014631,-118.755997
54,"Semiconductor Photonics Group, School of Physics and Centre for Telecommunication Value-Chain Driven Research (CTVR), Trinity College Dublin, Dublin, Ireland","[""Photonics Group and Centre for Telecommunication Value-Chain Driven Research (CTVR), Tyndall National Institute, Cork, Ireland""]",53.3493795,-6.2605593
55,"TPS Engineering Department, Tokyo Electron AT Limited, Esashi, Japan","[""Technology Development Center, Tokyo Electron Limited, Nirasaki, Japan""]",41.8690714,140.1272235
56,"Technology Development Center, Tokyo Electron Limited, Nirasaki, Japan","[""TPS Engineering Department, Tokyo Electron AT Limited, Esashi, Japan""]",35.717518,138.409373
57,"Ferdinand-Braun-Institut für Höchfrequenztechnik, Berlin, Germany",[],52.5170365,13.3888599
58,"Key Laboratory of Wide Band Gap Semiconductor Materials and Devices, School of Microelectronics, Xidian University, Xi’an, China","[""State Key Laboratory of Crystal Materials, Shandong University, Jinan, China"", ""Enkris Semiconductor Inc., Suzhou, China"", ""Electrical and Computer Engineering Department, Faculty of Engineering, King Abdulaziz University, Jeddah, Saudi Arabia"", ""Institute of Microelectronics of Chinese Academy of Sciences, Beijing, China"", ""National Key Laboratory of ASIC, Hebei Semiconductor Research Institute, Shijiazhuang, China"", ""Laboratory of Material Surface Engineering and Nanofabrication, Xi\u2019an Modern Chemistry Research Institute, Xi\u2019an, China""]",34.2607713,108.9423443
59,"Department of Physics, Xiamen University, Xiamen, China","[""Material Science Center, Institute of Semiconductors, Chinese Academy of Sciences (CAS), Beijing, China"", ""Key Laboratory of Semiconductor Material Sciences and the Material Science Center Institute of Semiconductors, Chinese Academy of Sciences (CAS), Beijing, China""]",24.5438732,118.0768065
60,"Key Laboratory of Semiconductor Material Sciences and the Material Science Center Institute of Semiconductors, Chinese Academy of Sciences (CAS), Beijing, China","[""Department of Physics, Xiamen University, Xiamen, China"", ""Material Science Center, Institute of Semiconductors, Chinese Academy of Sciences (CAS), Beijing, China""]",39.9057136,116.3912972
61,"Material Science Center, Institute of Semiconductors, Chinese Academy of Sciences (CAS), Beijing, China","[""Department of Physics, Xiamen University, Xiamen, China"", ""Key Laboratory of Semiconductor Material Sciences and the Material Science Center Institute of Semiconductors, Chinese Academy of Sciences (CAS), Beijing, China""]",39.9057136,116.3912972
62,"Manufacturing Technology Center, Taiwan Semiconductor Manufacturing Company, Hsinchu, Taiwan",[],24.8066333,120.9686833
63,"Laboratory of Solid State Optoelectronics Information Technology, Institute of Semiconductors, Chinese Academy of Sciences, Beijing, China",[],39.9057136,116.3912972
64,"Center of Compound Semiconductors and School of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, GA, USA",[],32.3293809,-83.1137366
65,"University of Twente, Enschede, AE, The Netherlands","[""Shenzhen Institute for Wide Bandgap Semiconductors (WinS), Shenzhen, China""]",51.9898961,4.3753701
66,"Shenzhen Institute for Wide Bandgap Semiconductors (WinS), Shenzhen, China","[""University of Twente, Enschede, AE, The Netherlands""]",22.5445741,114.0545429
67,"Department of Materials and Interfaces, Weizmann Institute of Science, Rehovot, Israel",[],31.8930644,34.80340932920801
68,"Business Development, Atfields Manufacturing Technology Corporation, Uozu, Japan","[""Manufacturing Center, Tower Partners Semiconductor, Company Ltd., Uozu, Japan"", ""Technology Center, Tower Partners Semiconductor, Company Ltd., Uozu, Japan""]",36.8170731,137.4182725
69,"Manufacturing Center, Tower Partners Semiconductor, Company Ltd., Uozu, Japan","[""Business Development, Atfields Manufacturing Technology Corporation, Uozu, Japan"", ""Technology Center, Tower Partners Semiconductor, Company Ltd., Uozu, Japan""]",36.8170731,137.4182725
70,"Technology Center, Tower Partners Semiconductor, Company Ltd., Uozu, Japan","[""Business Development, Atfields Manufacturing Technology Corporation, Uozu, Japan"", ""Manufacturing Center, Tower Partners Semiconductor, Company Ltd., Uozu, Japan""]",36.8170731,137.4182725
71,"Austin Silicon Technology Solutions (ASTS), Freescale Semiconductor, Inc., Austin, TX, USA","[""Microwave and Mixed-Signals Technologies Laboratory, Freescale Semiconductor, Inc., Tempe, AZ, USA""]",31.2638905,-98.5456116
72,"Microwave and Mixed-Signals Technologies Laboratory, Freescale Semiconductor, Inc., Tempe, AZ, USA","[""Austin Silicon Technology Solutions (ASTS), Freescale Semiconductor, Inc., Austin, TX, USA""]",34.395342,-111.763275
73,"Physics Department, National Cheng Kung University, Tainan County, Taiwan","[""Institute of Optoelectronics and Solid State Electronics, National Chiayi University, Chiayi, Taiwan""]",,
74,"Institute of Optoelectronics and Solid State Electronics, National Chiayi University, Chiayi, Taiwan","[""Physics Department, National Cheng Kung University, Tainan County, Taiwan""]",23.4591664,120.2930004
